시도명,시군구명,의료기관종별,의료기관명,개설구분,개설연도,입원실,병상,연락처,응급의료센터지정,소재지도로명주소,경도,위도,거리(km)
강원특별자치도,강릉시,의원,갈바리의원,재단법인,1966,9,15,033-644-4992,비지정,강원특별자치도 강릉시 임영로163번길 24-8 (홍제동),128.888764,37.755608,148.73
강원특별자치도,강릉시,한의원,동원한의원,민간,1966,0,0,033-648-4042,비지정,강원특별자치도 강릉시 임영로 142-1 (임당동),128.892161,37.754033,149.07
강원특별자치도,강릉시,치과병원,강현규치과병원,민간,1968,0,0,033-648-2742,비지정,강원특별자치도 강릉시 금성로42번길 14 (임당동),128.895622,37.753989,149.36
강원특별자치도,강릉시,한의원,진생한의원,민간,1968,0,0,033-662-2735,비지정,강원특별자치도 강릉시 주문진읍 주문로 49,128.825498,37.888256,139.49
강원특별자치도,강릉시,한의원,경희한의원,민간,1972,0,0,033-648-3511,비지정,강원특별자치도 강릉시 경강로2119번길 5-1 (옥천동),128.897751,37.756423,149.45
강원특별자치도,강릉시,한의원,염한의원,민간,1974,0,0,033-648-5256,비지정,강원특별자치도 강릉시 강릉대로 242 (교동),128.896608,37.759522,149.25
강원특별자치도,강릉시,치과병원,정치과병원,민간,1975,0,0,033-648-4838,비지정,강원특별자치도 강릉시 문화의길 14-1 (임당동),128.894378,37.755295,149.21
강원특별자치도,강릉시,한의원,신생한의원,민간,1979,0,0,033-648-9005,비지정,강원특별자치도 강릉시 문화의길 18 (임당동),128.894063,37.755514,149.17
강원특별자치도,강릉시,의원,공내과의원,민간,1981,0,0,033-648-4230,비지정,강원특별자치도 강릉시 옥가로 53-1 (교동),128.899852,37.761237,149.47
강원특별자치도,강릉시,의원,대동의원,민간,1981,0,0,033-662-3881,비지정,강원특별자치도 강릉시 주문진읍 주문로 81,128.82587,37.891082,139.45
강원특별자치도,강릉시,치과병원,인성치과병원,민간,1982,0,0,033-651-8240,비지정,"강원특별자치도 강릉시 성덕포남로 75, 3층 (입암동, 대성빌딩)",128.917323,37.760696,150.95
강원특별자치도,강릉시,종합병원,의료법인 강릉동인병원,의료법인,1983,114,446,033-650-6113,지정,강원특별자치도 강릉시 강릉대로419번길 42 (포남동),128.907665,37.774638,149.69
강원특별자치도,강릉시,종합병원,강원도강릉의료원,공립(지방의료원),1983,32,137,033-610-1200,지정,강원특별자치도 강릉시 경강로 2007 (남문동),128.888689,37.749338,148.94
강원특별자치도,강릉시,의원,이상용내과의원,민간,1983,0,0,033-643-7676,비지정,강원특별자치도 강릉시 금성로22번길 12 (금학동),128.89754,37.754956,149.48
강원특별자치도,강릉시,의원,중앙정형외과의원,민간,1984,0,0,033-648-2250,비지정,강원특별자치도 강릉시 금성로42번길 9 (금학동),128.895672,37.753466,149.38
강원특별자치도,강릉시,의원,제일이비인후과의원,민간,1985,0,0,033-648-2946,비지정,강원특별자치도 강릉시 문화의길 15 (임당동),128.894002,37.755172,149.18
강원특별자치도,강릉시,의원,유주왕외과의원,민간,1987,3,3,033-662-8767,비지정,강원특별자치도 강릉시 주문진읍 해안3길 7,128.825867,37.88573,139.58
