의료기관명,방문 횟수
갈바리의원,0
동원한의원,0
강현규치과병원,0
진생한의원,0
경희한의원,0
염한의원,0
정치과병원,0
신생한의원,0
공내과의원,0
대동의원,0
인성치과병원,0
의료법인 강릉동인병원,0
강원도강릉의료원,0
이상용내과의원,0
중앙정형외과의원,0
제일이비인후과의원,0
유주왕외과의원,0
관동치과병원,0
보생한의원,0
이도현성형외과의원,0
연세치과병원,0
정의흠외과의원,0
한중한의원,0
김재구치과병원,0
행복이송송치과병원,0
제일내과의원,0
중화당한의원,0
성심외과의원,0
이승우치과병원,0
김이비인후과의원,0
중앙치과병원,0
박비뇨기과의원,0
윤이비인후과의원,0
김홍근의원,0
권혁태치과병원,0
의산의료재단 강릉고려병원,0
장신경과의원,0
김남원내과의원,0
우신김비뇨기과의원,0
최한의원,0
최근준치과병원,0
김은겸치과병원,0
약손치과병원,0
강릉치과병원,0
김치과병원,0
에스엠 가정의학과의원,0
국군강릉병원,0
강릉연세요양병원,0
연세피부과의원,0
아름다운피부과의원,0
윤내과의원,0
현소아청소년과의원,0
경선산부인과의원,0
차명호신경외과의원,0
홍내과의원,0
이종화외과의원,0
이종원내과의원,0
가인치과병원,0
한진규치과병원,0
제일치과병원,0
광제한의원,0
강릉아산병원,0
이재홍정형외과의원,0
박민형안과의원,0
서이비인후과의원,0
한은현치과병원,0
김남동내과의원,0
이해욱성형외과의원,0
연세부부치과병원,0
동양한의원,0
강릉원주대학교치과병원,0
허치과병원,0
김환준치과병원,0
연세마취통증의학과의원,0
난소아청소년과의원,0
최종운치과병원,0
이소아청소년과의원,0
최정준성형외과의원,0
서울이비인후과의원,0
제중한의원,0
서울안과의원,0
함치과병원,0
장수한의원,0
중앙진단방사선과의원,0
신영치과병원,0
현대치과병원,0
율곡한의원,0
행복누리산부인과의원,0
하나산부인과의원,0
연세플러스치과병원,0
동의보감한의원,0
한솔내과의원,0
한림정형외과의원,0
한빛안과의원,0
세란신경과의원,0
김동일내과의원,0
연세소아청소년과의원,0
지남한의원,0
강릉한의원,0
서울성형외과의원,0
수한의원,0
영동치과병원,0
세란재활의학과의원,0
성광용내과의원,0
우리들내과의원,0
한빛한의원,0
늘푸른한의원,0
이가편한미치과병원,0
서울정형외과의원,0
조소아청소년과의원,0
손정형외과의원,0
이명호내과의원,0
한서한의원,0
홍익한의원,0
여정언산부인과의원,0
연세플러스비뇨기과의원,0
박유인소아청소년과의원,0
보리수의원,0
소망치과병원,0
마미치과병원,0
델포이내과의원,0
의료법인강릉성한의원,0
서울치과병원,0
인성의원,0
화이트치과병원,0
서울피부과의원,0
자화당중국한의원,0
한솔한의원,0
제이치과병원,0
솔올이비인후과의원,0
임한의원,0
(의)아나의료재단 강릉아나병원,0
세원마취통증의원,0
